

########################################################
1576234726102	Start_of_the_log : 11:58:46
########################################################


1576234729437	15.0


########################################################
1576240763937	Start_of_the_log : 13:39:23
########################################################




########################################################
1576241004588	Start_of_the_log : 13:43:24
########################################################




########################################################
1576241417205	Start_of_the_log : 13:50:17
########################################################




########################################################
1576241529158	Start_of_the_log : 13:52:09
########################################################




########################################################
1576241666048	Start_of_the_log : 13:54:26
########################################################




########################################################
1576241869315	Start_of_the_log : 13:57:49
########################################################




########################################################
1576242042812	Start_of_the_log : 14:00:42
########################################################




########################################################
1576242140700	Start_of_the_log : 14:02:20
########################################################




########################################################
1576242466921	Start_of_the_log : 14:07:46
########################################################




########################################################
1576242582631	Start_of_the_log : 14:09:42
########################################################


1576242590403	517.0
1576242604782	517.0
1576242616177	514.0
1576242624267	517.0
1576242629959	517.0
1576242637482	517.0
1576242643664	517.0
1576242653632	517.0
1576242656640	517.0
1576242668036	517.0
1576242677476	517.0
1576242687642	517.0
1576242694922	517.0
