

########################################################
1576668646353	Start_of_the_log : 12:30:46
########################################################


1576668649774	18.0
1576668653247	18.0
1576668679864	18.0
1576668710663	18.0
1576668753553	18.0
1576668819266	19.0
1576668819484	19.0
1576668829293	19.0


########################################################
1576668865616	Start_of_the_log : 12:34:25
########################################################


1576668867244	19.0


########################################################
1576668956031	Start_of_the_log : 12:35:56
########################################################


1576668957053	19.0


########################################################
1576668980781	Start_of_the_log : 12:36:20
########################################################


1576668981987	19.0
1576668985728	19.0
1576668985942	19.0
1576668986152	19.0
1576668986366	19.0
1576668986578	19.0
1576668986787	19.0
1576668987000	19.0
1576668987210	19.0
1576668987417	19.0
1576668987620	19.0
1576668987822	19.0
1576668988026	19.0
1576668988229	19.0
1576668988479	19.0
1576668988690	19.0
1576668988915	19.0
1576668989124	21.0
1576668989333	19.0
1576668989544	19.0
1576668989749	19.0
1576668989953	18.0
1576668990157	18.0
1576668990402	18.0
1576668990611	18.0
1576668990820	18.0
1576668991028	18.0
1576668991238	18.0
1576668991447	18.0
1576668991658	18.0
1576668991868	18.0
1576668992079	18.0
1576668992287	18.0
1576668992495	18.0
1576668992699	18.0
1576668992901	18.0
1576668993104	20.0
1576668993306	18.0
1576668993510	17.0
1576668993758	19.0
1576668993968	18.0
1576668994181	18.0
1576668994390	18.0
1576668994602	17.0
1576668994808	17.0
1576668995014	17.0
1576668995220	18.0
1576668995430	17.0
1576668995637	18.0
1576668995843	18.0
1576668996045	18.0
1576668996263	18.0
1576668996484	18.0
1576668996687	19.0
1576668996890	18.0
1576668997109	18.0
1576668997309	18.0
1576668997521	18.0
1576668997728	18.0
1576668997892	18.0
1576668998144	17.0
1576668998351	18.0
1576668998562	18.0
1576668998771	18.0
1576668998980	18.0
1576668999185	18.0
1576668999398	18.0
1576668999559	18.0
1576668999809	18.0
1576669000019	17.0
1576669000227	18.0
1576669000440	18.0
1576669000648	18.0
1576669000852	18.0
1576669001063	18.0
1576669001271	18.0
1576669001436	18.0
1576669001687	18.0
1576669001897	17.0
1576669002105	18.0
1576669002314	18.0
1576669002522	18.0
1576669002730	18.0
1576669002936	17.0
1576669003156	18.0
1576669003313	18.0
1576669003561	18.0
1576669003771	17.0
1576669003979	18.0
1576669004186	18.0
1576669004394	18.0
1576669004605	18.0
1576669004812	17.0
1576669005018	18.0
1576669005187	18.0
1576669005439	18.0
1576669005643	17.0
1576669005845	17.0
1576669006049	18.0
1576669006256	18.0
1576669006474	18.0
1576669006677	17.0
1576669006880	18.0
1576669007037	18.0
1576669007294	18.0
1576669007508	18.0
1576669007711	17.0
1576669013227	18.0
